index;x;y;z
175;-0.095940;-0.033433;0.006350
176;-0.042989;0.009587;0.004950
177;-0.019336;0.000087;-0.003109
178;-0.003395;0.012245;-0.010763
179;-0.010362;0.010404;0.002651
180;-0.002895;-0.004039;0.014989
181;0.017974;0.016973;0.005743
182;0.008964;-0.016393;0.003309
183;0.030436;0.022867;0.017742
184;0.010483;-0.004209;-0.000999
185;0.032559;0.003302;0.006953
186;0.101342;0.031876;-0.016138
187;0.217836;0.016074;-0.032670
188;0.221783;0.014875;-0.001587
189;0.013091;0.046535;0.048232
190;-0.296701;-0.027373;0.029750
191;-0.393307;-0.014628;0.056545
192;-0.212395;-0.000530;0.013785
193;-0.012752;-0.013048;-0.043439
194;0.090875;0.024188;-0.057394
195;0.043109;-0.006979;0.023679
196;0.030054;0.011723;0.006377
197;-0.000378;0.009121;0.014631
198;-0.000037;-0.008757;0.007938
199;0.060840;0.006489;-0.003307
200;0.067204;0.000035;-0.004737
201;0.054279;-0.002003;-0.011198
202;0.032152;0.003048;0.017756
203;0.012964;-0.002920;-0.006541
204;-0.010481;-0.008633;0.006965
205;0.003450;0.002378;0.000423
206;-0.012771;0.013460;-0.001397
207;-0.079387;0.025125;0.011258
208;-0.258661;-0.000014;-0.009951
209;-0.404316;0.007212;0.030774
210;-0.261639;-0.034776;0.061047
211;0.209519;0.003622;-0.038352
212;0.391854;0.076062;-0.131834
213;0.098014;0.020689;0.052498
214;-0.083230;-0.011445;0.079044
215;-0.111717;-0.022709;0.023922
216;-0.077625;0.008879;-0.025099
217;-0.050143;-0.009540;-0.024245
218;-0.015703;-0.005912;-0.012609
219;-0.004187;0.021834;-0.001777
220;-0.016872;-0.005488;0.000659
221;0.025341;-0.007439;0.002967
222;0.071711;0.006474;0.001687
223;0.074125;0.001165;0.013986
224;0.053189;0.021370;0.008264
225;0.031696;-0.004206;-0.012166
226;-0.003134;-0.018588;-0.026340
227;-0.027635;0.001894;0.007633
228;-0.056212;-0.000877;0.001577
229;-0.182434;0.028104;0.024189
230;-0.354873;0.049974;0.001136
231;-0.197426;-0.044103;0.082004
232;0.305821;-0.007474;-0.083591
233;0.308875;0.036026;-0.109507
234;0.039824;-0.002782;0.071564
235;-0.071310;-0.019499;0.097046
236;-0.046984;0.031137;0.035155
237;-0.063294;-0.001963;-0.014536
238;-0.057353;-0.026558;-0.015134
239;-0.019363;-0.008252;-0.032963
240;0.008497;-0.007758;0.009469
241;0.053900;-0.003611;0.006897
242;0.087362;0.014773;-0.000986
243;0.081637;0.018822;0.004329
244;0.038562;0.005933;0.029003
245;0.002548;-0.012419;0.017612
246;-0.010073;-0.004017;-0.006312
247;-0.039390;0.007460;-0.002058
248;-0.056825;0.041844;0.011929
249;-0.039790;0.014161;0.000874
250;-0.064179;-0.181588;0.038978
251;0.003129;-0.296726;-0.025099
252;0.077890;-0.132497;-0.041819
253;0.020580;0.274619;0.014204
254;0.033334;0.455091;0.060154
255;-0.025667;0.032213;0.159212
256;-0.055236;-0.189672;-0.027323
257;0.003715;-0.125906;-0.125020
258;0.031012;-0.004669;-0.073112
259;0.032928;-0.014662;-0.028385
260;-0.013310;-0.122143;-0.008773
261;-0.058671;-0.095569;0.024429
262;0.013310;0.497482;-0.034514
263;-0.007039;0.122854;0.145423
264;-0.056673;-0.316668;0.025765
265;0.026558;-0.235597;-0.093256
266;0.030439;0.055247;-0.029959
267;0.054830;0.417005;-0.015753
268;-0.041918;0.037540;0.159288
269;-0.071202;-0.273260;-0.007104
270;-0.002135;-0.071278;-0.055707
271;0.063782;0.098547;-0.024001
272;0.016435;0.069768;0.012839
273;0.000387;0.046632;0.004022
274;0.045139;0.047868;0.014523
275;0.038500;0.000932;-0.025379
276;-0.098024;-0.093897;0.009031
277;-0.186787;-0.076005;0.021124
278;-0.102613;0.007654;0.029625
279;0.022222;0.032341;0.006100
280;0.158394;0.000873;-0.025801
281;0.244611;-0.017743;-0.036309
282;0.188385;0.031039;-0.028105
283;-0.048777;0.026905;0.045571
284;-0.245226;-0.009127;0.043942
285;-0.252351;-0.021992;0.027425
286;-0.052608;-0.035022;-0.009967
287;0.203942;0.007018;-0.048981
288;0.137875;0.029011;-0.060322
289;-0.121510;0.015645;0.038798
290;-0.168272;-0.013162;0.052020
291;0.008880;-0.009609;0.018928
292;0.164136;0.048879;-0.064359
293;0.076118;0.016240;-0.011727
294;-0.092897;-0.014073;0.056782
295;-0.138580;-0.056487;0.042554
296;-0.048905;0.000765;0.006165
297;-0.042618;0.002923;-0.027831
298;0.014127;0.017124;-0.015173
299;0.196636;-0.025906;0.026347
300;0.235746;0.025726;0.005199
301;0.045591;0.037068;0.033580
302;-0.219186;-0.041316;0.079390
303;-0.148444;-0.037472;0.065838
304;0.093047;0.030068;-0.023319
305;0.143933;0.044404;-0.075620
306;0.043942;0.025276;-0.034839
307;-0.056721;-0.006269;-0.002476
308;-0.092448;-0.026648;0.009131
309;-0.008665;-0.004487;0.005443
310;0.018856;-0.017742;0.033622
311;0.029334;0.020058;-0.006779
312;-0.016313;0.000328;0.025246
313;-0.013028;0.011518;0.024765
314;-0.026367;-0.001998;0.007751
315;-0.023007;-0.000211;-0.009050
316;0.000117;-0.004397;0.003046
317;-0.005120;0.002990;-0.019383
318;-0.003641;0.011886;0.011028
319;0.003354;0.001336;0.000856
320;-0.000827;-0.015343;0.000104
321;0.021841;0.013397;0.011637
322;-0.050513;-0.014273;0.004356
323;-0.040084;-0.020432;-0.001937
324;0.140780;-0.003065;-0.022740
325;0.105075;0.038192;-0.014407
326;-0.187609;0.009302;0.020199
327;-0.162249;-0.030272;0.067309
328;0.111771;-0.038250;-0.055893
329;0.177376;0.075288;-0.052151
330;-0.037150;0.004692;0.090375
331;-0.152591;-0.041863;0.068153
332;0.014110;0.006339;-0.004320
333;0.165135;0.039829;-0.065217
334;0.086205;0.051349;-0.006851
335;-0.106571;-0.032802;0.052620
336;-0.147194;-0.033473;0.036907
337;-0.030676;0.011234;-0.001417
338;0.087383;-0.017689;-0.013305
339;0.120864;0.037441;-0.025999
340;0.002116;0.008993;0.018515
341;-0.031537;-0.001724;0.015676
342;-0.012388;0.010232;-0.022992
343;-0.007795;0.019668;-0.067036
344;0.032360;-0.011668;-0.148209
345;-0.004557;-0.015777;-0.291933
346;-0.016793;-0.027046;-0.420081
347;-0.013262;-0.012906;-0.431832
348;0.016882;0.051535;-0.514992
349;-0.017038;0.002529;-0.492285
