index;x;y;z
0;0.042221;-0.081726;-1.008011
1;0.046036;-0.080902;-1.021194
2;0.045990;-0.094910;-1.010239
3;0.028015;-0.091843;-0.975128
4;0.018265;-0.086990;-0.967316
5;0.026443;-0.090668;-0.981445
6;0.029922;-0.095734;-0.992096
7;0.032196;-0.084442;-1.000443
8;0.024414;-0.071808;-1.006180
9;0.013428;-0.058716;-1.021912
10;0.015579;-0.072372;-1.012360
11;0.019836;-0.091232;-0.991821
12;0.033447;-0.117279;-0.976379
13;0.035736;-0.126587;-0.958679
14;0.015442;-0.114853;-0.962540
15;0.010345;-0.100189;-0.983292
16;0.008453;-0.089325;-0.972107
17;-0.002167;-0.073303;-1.006470
18;-0.010651;-0.064590;-1.013916
19;-0.011215;-0.062454;-0.988983
20;-0.018097;-0.043823;-1.010971
21;-0.029205;-0.044922;-0.986954
22;0.003586;-0.079117;-0.986008
23;0.058899;-0.140518;-0.983215
24;0.036072;-0.126266;-0.961945
25;0.063034;-0.148865;-0.994324
26;0.037811;-0.122650;-0.952316
27;0.016769;-0.055099;-0.962463
28;-0.039871;-0.048828;-0.971573
29;-0.011108;-0.035690;-1.008514
30;-0.025589;-0.025452;-0.999176
31;-0.007080;-0.034409;-1.019104
32;-0.004608;-0.044785;-1.009964
33;0.022736;-0.067398;-1.002701
34;0.017258;-0.080765;-0.992950
35;0.030319;-0.096405;-0.995300
36;0.053802;-0.122528;-0.996704
37;0.128006;-0.196457;-1.097351
38;0.104080;-0.186951;-1.056534
39;-0.049667;-0.079666;-0.971191
40;-0.242584;0.095764;-0.890579
41;-0.288132;0.183136;-0.837296
42;-0.214264;0.211334;-0.902267
43;0.138992;-0.005630;-1.060272
44;0.445084;-0.326111;-1.037811
45;0.334656;-0.314285;-1.003555
46;0.159088;-0.244827;-1.039673
47;-0.193588;-0.044724;-1.031158
48;-0.463974;0.222641;-1.011551
49;-0.541153;0.323914;-0.999893
50;-0.090454;0.157181;-1.160263
51;0.396545;-0.133057;-1.127777
52;0.578339;-0.309296;-0.959106
53;0.537903;-0.333084;-0.931442
54;0.112885;-0.229126;-0.850388
55;-0.318558;0.032043;-0.850220
56;-0.466263;0.185471;-0.977325
57;-0.283112;0.216583;-1.101547
58;0.086411;0.047134;-1.111877
59;0.426132;-0.194809;-1.045547
60;0.514008;-0.238556;-0.925583
61;0.443649;-0.148682;-0.945297
62;0.258087;-0.151184;-0.878586
63;-0.117523;-0.069870;-0.832550
64;-0.494080;0.116364;-0.885086
65;-0.497543;0.262909;-1.021881
66;-0.170486;0.170532;-1.177551
67;0.250229;-0.082733;-1.094879
68;0.457993;-0.230423;-1.020386
69;0.533966;-0.252167;-1.010056
70;0.375580;-0.236572;-0.938507
71;-0.158386;-0.139893;-0.793640
72;-0.729141;0.180145;-0.773560
73;-0.652206;0.481445;-0.981888
74;-0.012894;0.239624;-1.188141
75;0.478638;-0.165787;-1.125748
76;0.704819;-0.360687;-1.116516
77;0.727051;-0.378738;-1.077026
78;0.213303;-0.161133;-0.922256
79;-0.382004;0.111038;-0.828064
80;-0.786484;0.401352;-0.797058
81;-0.529251;0.351822;-1.036011
82;-0.047882;0.074142;-1.113190
83;0.362488;-0.204193;-1.111725
84;0.577148;-0.290924;-1.078049
85;0.567688;-0.206848;-1.024048
86;0.426910;-0.132065;-0.941025
87;0.017258;-0.034332;-0.882050
88;-0.441757;0.149536;-0.885605
89;-0.680511;0.252151;-0.885498
90;-0.475311;0.285065;-1.081680
91;0.036499;0.057907;-1.110977
92;0.455841;-0.208298;-1.070404
93;0.563080;-0.230576;-1.068298
94;0.553894;-0.263397;-1.009888
95;0.146881;-0.134735;-0.896606
96;-0.353027;0.045517;-0.871109
97;-0.626007;0.339493;-0.878784
98;-0.386871;0.335724;-1.077087
99;0.024155;0.072678;-1.086136
100;0.320190;-0.164413;-1.069901
101;0.483719;-0.272598;-1.080185
102;0.420105;-0.231689;-1.001404
103;0.183563;-0.064346;-0.919769
104;-0.184113;0.089432;-0.849869
105;-0.491898;0.344238;-0.830826
106;-0.436737;0.321075;-0.924240
107;-0.023468;0.004776;-1.132080
108;0.328949;-0.284454;-1.209717
109;0.379150;-0.257904;-1.144577
110;0.335464;-0.156265;-1.045944
111;0.160553;-0.028625;-0.920944
112;0.156036;0.055008;-0.902222
113;0.229248;0.087616;-0.865814
114;-0.027969;-0.028946;-0.886703
115;-0.344299;0.063736;-0.970505
116;-0.566147;0.176514;-1.051498
117;-0.539230;0.236618;-1.109329
118;-0.192520;0.141296;-1.119812
119;0.171951;-0.081680;-0.999039
120;0.388382;-0.209839;-0.982773
121;0.493759;-0.185272;-0.989853
122;0.456757;-0.149551;-0.953018
123;0.221680;-0.123596;-0.940521
124;-0.169785;0.038483;-0.947388
125;-0.545242;0.134735;-0.945038
126;-0.720947;0.308319;-1.002075
127;-0.427292;0.225647;-1.132858
128;-0.001770;-0.016357;-1.033203
129;0.330536;-0.199081;-1.036209
130;0.509796;-0.210968;-0.972244
131;0.563461;-0.165359;-0.964630
132;0.381470;-0.118713;-0.926483
133;0.069489;-0.050430;-0.934265
134;-0.325653;0.080811;-0.944031
135;-0.424316;0.166550;-1.047546
136;-0.386978;0.136673;-1.108322
137;-0.114090;0.033295;-1.114166
138;0.147980;-0.087341;-1.076523
139;0.244049;-0.113815;-0.984604
140;0.225830;-0.109818;-0.928497
141;0.141907;-0.166565;-0.886383
142;-0.011627;-0.245087;-0.949570
143;0.030746;-0.375916;-1.157028
144;-0.019363;-0.185760;-1.234283
145;0.118484;-0.043991;-1.061554
146;0.089996;0.299667;-0.906342
147;0.004288;0.501099;-0.946777
148;0.002472;0.408905;-0.854004
149;-0.015076;0.127670;-0.838257
150;-0.179886;-0.113113;-0.864182
151;-0.080185;-0.527664;-1.031525
152;-0.008179;-0.609055;-1.145416
153;0.115784;-0.522171;-1.071167
154;0.039413;-0.216217;-0.918152
155;0.036423;0.027100;-0.884552
156;0.099701;0.208160;-0.891693
157;0.045456;0.446091;-1.043365
158;0.016052;0.472916;-1.131332
159;0.002853;0.297195;-1.046539
160;0.018082;0.037292;-0.990051
161;-0.042908;-0.163376;-0.987427
162;0.005280;-0.481766;-0.951187
163;0.001816;-0.609848;-0.902405
164;0.044022;-0.526947;-0.900253
165;0.081512;-0.354874;-0.877655
166;0.040176;-0.079163;-0.940536
167;0.144196;0.124680;-0.951401
168;0.104919;0.412735;-1.043015
169;0.079742;0.581894;-1.112015
170;0.084839;0.537750;-1.139084
171;0.062805;0.394226;-1.133652
172;0.041626;0.129776;-1.064926
173;0.037689;-0.167023;-0.959824
174;-0.029343;-0.337204;-0.921066
175;-0.009781;-0.487183;-0.971634
176;-0.024536;-0.485275;-0.988007
177;0.045746;-0.490753;-0.931976
178;0.022141;-0.345917;-0.886917
179;0.022293;-0.131042;-0.888474
180;0.048355;0.076126;-0.984650
181;0.100372;0.283890;-1.008286
182;0.183289;0.451202;-1.129303
183;0.161621;0.592972;-1.188828
184;0.138382;0.532654;-1.156601
185;0.133575;0.374512;-1.067764
186;0.109985;0.261597;-1.034958
187;0.047424;0.204330;-0.910416
188;-0.033951;0.008057;-0.863022
189;0.054581;-0.441086;-0.935501
190;-0.021179;-0.677872;-0.990509
191;-0.044968;-0.834641;-1.067505
192;0.008728;-0.912659;-1.007187
193;0.108154;-0.806076;-0.764145
194;0.008072;-0.286774;-0.790222
195;-0.034348;0.267700;-0.948929
196;0.052429;0.491592;-1.114716
197;0.099991;0.705963;-1.239716
198;0.082306;0.800873;-1.292908
199;0.124680;0.527695;-0.954056
200;0.145554;0.314728;-0.895691
201;0.162216;0.087723;-0.945175
202;0.134720;-0.045319;-0.943756
203;0.036209;-0.053604;-0.892090
204;0.001556;-0.107086;-1.086868
205;-0.016800;-0.235611;-1.035934
206;-0.061172;-0.391983;-1.044632
207;-0.082062;-0.574341;-1.016327
208;-0.100311;-0.655487;-0.969604
209;-0.032089;-0.685608;-0.888062
210;0.033981;-0.650299;-0.897736
211;-0.053436;-0.429245;-0.916199
212;0.035370;-0.285522;-0.942642
213;0.087082;-0.120071;-1.014282
214;0.104065;0.121719;-1.034195
215;0.171051;0.377563;-1.077133
216;0.190094;0.603760;-1.004059
217;0.134354;0.737183;-1.086624
218;0.076691;0.715408;-1.080795
219;0.082672;0.566605;-1.002441
220;0.098145;0.356583;-1.074661
221;0.035690;0.208649;-1.056198
222;0.070633;-0.080292;-1.015732
223;0.013046;-0.277390;-1.047073
224;-0.045883;-0.392502;-1.041351
225;0.011642;-0.652740;-1.023056
226;0.079834;-0.855484;-1.063339
227;0.041107;-0.800034;-1.047531
228;0.134247;-0.724838;-0.839630
229;0.126678;-0.600693;-0.790070
230;-0.004211;-0.261612;-0.896591
231;0.123001;-0.138718;-0.925735
232;0.151245;0.101288;-1.023834
233;0.094162;0.459427;-1.009018
234;0.139114;0.712006;-1.156143
235;0.043488;0.886124;-1.275284
236;0.065903;0.671326;-1.072906
237;0.119995;0.444138;-1.127167
238;0.108490;0.270920;-1.115479
239;-0.006882;0.045639;-0.911957
240;-0.048340;-0.203659;-0.831924
241;-0.077866;-0.429916;-0.945663
242;-0.118286;-0.623535;-0.966858
243;-0.005753;-0.825394;-1.049835
244;0.067749;-0.880096;-1.068405
245;-0.044830;-0.705399;-0.920120
246;0.097580;-0.653671;-0.716583
247;0.029800;-0.349945;-0.771194
248;0.093246;-0.065277;-0.920212
249;0.225647;0.254700;-1.006363
250;0.120499;0.760757;-1.232727
251;0.156235;0.946640;-1.349060
252;0.020126;0.910934;-1.266724
253;0.032074;0.620743;-1.028183
254;-0.076950;0.339951;-0.914398
255;-0.093307;-0.115204;-0.864304
256;-0.001816;-0.667053;-0.878098
257;0.114059;-1.055923;-1.025696
258;0.033752;-1.085739;-1.021576
259;0.031372;-0.909363;-0.862656
260;0.077148;-0.592621;-0.731949
261;0.033707;-0.128693;-0.721054
262;0.035065;0.479965;-0.988449
263;0.001678;1.050217;-1.369339
264;-0.166122;1.093414;-1.431747
265;-0.071457;0.432068;-0.981445
266;-0.051743;-0.229767;-0.890823
267;0.064346;-0.801941;-0.929276
268;0.186661;-1.107132;-0.779480
269;0.304825;-0.880905;-0.674469
270;0.329758;-0.149155;-0.696152
271;0.005585;0.866470;-1.319016
272;-0.362091;1.045807;-1.580902
273;-0.262817;0.174744;-0.971527
274;-0.213608;-0.397873;-0.949860
275;-0.005188;-0.745056;-0.882446
276;0.267792;-0.815491;-0.684845
277;0.382507;-0.374451;-0.608231
278;0.170502;0.456284;-0.896057
279;-0.235764;1.003860;-1.556992
280;-0.268585;0.313126;-1.259552
281;-0.106796;-0.479446;-1.070969
282;-0.005676;-0.822784;-0.882278
283;0.235016;-0.851715;-0.605057
284;0.300415;-0.362595;-0.494492
285;0.015366;0.524017;-0.951645
286;-0.246094;0.935806;-1.512802
287;-0.097809;0.193817;-1.217682
288;0.119125;-0.407211;-0.951874
289;0.121735;-0.428482;-0.733658
290;-0.009811;-0.167282;-0.674469
291;-0.062668;-0.017700;-0.841019
292;-0.079300;0.022751;-1.013565
293;-0.004440;-0.066772;-0.994705
294;0.032776;-0.123672;-1.024261
295;0.068420;-0.101120;-1.108597
296;0.086227;-0.087738;-0.987671
297;-0.020065;0.038422;-1.040726
298;0.044601;0.006042;-1.130020
299;0.039719;-0.021057;-1.039505
300;0.097717;-0.043625;-1.054550
301;0.207230;-0.205795;-1.004196
302;0.030472;-0.063904;-0.849686
303;0.070496;0.051743;-1.122009
304;0.045547;-0.009415;-1.059738
305;0.062897;-0.051651;-1.067917
306;0.037430;0.011276;-0.905579
307;0.042145;0.008850;-1.027908
308;0.013214;-0.000397;-1.051590
309;-0.012711;-0.022934;-1.004730
310;0.099808;0.006012;-1.111572
311;0.074356;-0.156021;-1.289169
312;-0.148682;-0.312775;-0.964050
313;-0.155106;-0.407181;-0.915802
314;-0.076889;-0.348373;-0.940826
315;0.032928;0.322144;-0.997208
316;0.225983;1.334595;-1.055298
317;0.354004;0.773682;-0.839249
318;-0.209457;-0.557693;-0.873520
319;-0.470901;-1.471680;-1.001083
320;-0.453033;-0.913666;-1.102753
321;0.052979;1.040588;-1.223770
322;0.579834;1.785110;-1.085999
323;0.077454;0.246613;-0.747787
324;-0.478378;-1.293045;-1.069595
325;-0.464783;-1.320755;-1.125488
326;-0.061630;0.765976;-1.286438
327;0.333893;1.225922;-0.848099
328;0.061127;-0.132233;-0.828461
329;-0.140533;-0.374390;-0.906647
330;-0.089539;-0.133606;-0.959961
331;-0.079330;0.022766;-1.045471
332;-0.038727;0.108994;-1.014557
333;0.004456;0.117416;-1.042923
334;0.044846;0.103348;-1.107071
335;0.003937;0.151031;-1.161087
336;-0.033569;0.056198;-1.372238
337;-0.101288;-0.043610;-1.737183
338;-0.061005;-0.123199;-1.942291
339;-0.020386;0.024780;-1.443298
340;0.068451;0.227417;-0.016006
341;0.031540;0.393600;1.381775
342;-0.013702;0.293549;1.262924
343;-0.221786;0.120361;-0.733521
344;-0.192612;-0.162842;-2.782913
345;-0.358200;-0.313583;-3.267975
346;-0.161240;-0.338669;-2.663681
347;0.038879;-0.041962;-1.230515
348;0.109360;0.413300;0.504929
349;0.097656;0.480545;1.373978
350;-0.055771;0.284668;0.726944
351;-0.089462;0.180115;-1.161728
352;-0.063416;-0.176895;-3.046265
353;-0.268875;-0.344604;-3.392410
354;-0.061371;-0.273483;-2.515732
355;0.025467;0.193253;-0.920349
356;0.123932;0.437683;0.635239
357;0.060272;0.358963;1.585449
358;-0.155258;0.273193;1.099915
359;-0.163162;0.286621;-0.834305
360;-0.195129;-0.074921;-3.089417
361;-0.316849;-0.420639;-3.628403
362;-0.137161;-0.328323;-2.745316
363;-0.147156;0.151932;-1.194016
364;0.116180;0.369278;0.377701
365;0.065887;0.428314;1.793839
366;-0.028976;0.361374;1.202072
367;-0.070389;0.291168;-0.903748
368;-0.066925;-0.002350;-2.392715
369;-0.028854;-0.136414;-2.305618
370;-0.198074;-0.091003;-1.802704
371;-0.000641;0.058060;-1.187347
372;0.021347;0.223541;-0.905914
373;0.009552;0.103104;-0.844833
374;0.021957;0.014252;-0.868881
375;0.063843;0.072617;-0.933823
376;0.043503;0.124359;-0.937347
377;0.075516;0.105423;-0.978821
378;-0.055786;-0.007217;-1.016205
379;-0.237732;-0.008331;-1.053452
380;-0.208481;0.002289;-1.071655
381;-0.075500;0.044083;-0.965897
382;0.322800;0.056030;-0.926727
383;0.690140;0.062363;-0.964493
384;0.619400;0.130692;-1.011612
385;0.135483;0.244873;-0.937897
386;-0.416809;0.065964;-0.937363
387;-0.714218;-0.148865;-1.052551
388;-0.581696;-0.134003;-1.073639
389;-0.073898;-0.044861;-1.006699
390;0.558594;0.070786;-0.968536
391;0.794281;0.189636;-1.005783
392;0.497986;0.259949;-1.057098
393;-0.093811;0.132309;-0.984970
394;-0.543640;-0.074448;-1.047897
395;-0.703888;-0.138733;-1.082321
396;-0.487091;-0.076324;-0.994217
397;0.171524;0.016510;-0.927765
398;0.743164;0.121765;-0.916382
399;0.815216;0.281616;-1.024094
400;0.358383;0.270996;-0.997314
401;-0.288986;0.022095;-1.025116
402;-0.618011;-0.080475;-1.032150
403;-0.673859;-0.032104;-1.053665
404;-0.339798;-0.029892;-0.986923
405;0.351669;0.006989;-0.925247
406;0.836304;0.109161;-0.942932
407;0.674362;0.269653;-1.018463
408;0.086792;0.229263;-0.943680
409;-0.367737;-0.032639;-0.859421
410;-0.467728;-0.110199;-0.882111
411;-0.347000;-0.093643;-1.258636
412;-0.091873;0.000168;-1.866638
413;0.093491;0.059738;-2.175964
414;0.153732;0.009964;-1.762772
415;0.154205;0.041122;-0.775742
416;0.411255;0.091766;0.507812
417;0.269577;0.283783;1.489792
418;-0.037628;0.335541;0.765564
419;-0.372208;0.119049;-1.659012
420;-0.542648;-0.177704;-3.189835
421;-0.492676;-0.158463;-3.227310
422;0.002151;-0.053680;-1.976288
423;0.257355;0.290436;-0.231552
424;0.228790;0.208511;1.059647
425;0.132080;0.186035;1.317261
426;-0.106049;0.182861;-0.131897
427;-0.255310;0.193542;-2.344330
428;-0.454941;-0.091415;-3.529190
429;-0.433151;-0.219818;-3.085449
430;-0.238571;-0.017380;-1.381119
431;0.059570;0.271988;0.452896
432;0.206650;0.241394;1.622971
433;0.085800;0.304749;1.163162
434;-0.036224;0.338821;-0.989502
435;-0.369278;-0.003799;-2.840515
436;-0.540909;-0.274887;-3.405731
437;-0.361740;-0.205200;-2.413010
438;-0.099884;0.203995;-0.786591
439;0.252258;0.347305;0.759491
440;0.189545;0.198441;1.379807
441;0.084915;0.241379;0.456161
442;-0.144714;0.229645;-1.535660
443;-0.396912;0.000397;-3.051163
444;-0.631729;-0.311432;-3.239594
445;-0.295700;-0.186310;-2.119171
446;0.028351;0.324188;-0.469910
447;0.233566;0.333954;1.017670
448;0.121735;0.101562;1.429672
449;0.055542;0.248352;0.232880
450;-0.152939;0.276413;-1.856705
451;-0.456726;-0.058701;-3.144989
452;-0.500229;-0.294586;-2.987946
453;-0.227631;-0.091782;-1.848373
454;0.027039;0.278473;-0.593552
455;0.174194;0.209198;0.861008
456;0.138504;0.277481;1.301193
457;0.022766;0.293808;-0.234116
458;-0.091415;0.130554;-1.954315
459;-0.201584;-0.017761;-2.296616
460;-0.403915;-0.152802;-1.949173
461;-0.475632;-0.027023;-1.335876
462;-0.346436;0.168350;-0.859726
463;-0.265045;0.153503;-0.657608
464;0.435608;-0.033569;-0.764633
465;0.874756;-0.011902;-1.009705
466;0.502838;0.150558;-1.099274
467;-0.110733;0.189194;-1.010239
468;-0.586212;-0.058182;-1.028061
469;-0.761703;-0.149673;-1.049988
470;-0.477020;-0.162704;-0.983810
471;0.268661;-0.054672;-1.018448
472;0.807190;0.107971;-1.053909
473;0.688904;0.247406;-1.079041
474;0.069916;0.160538;-0.897919
475;-0.590912;-0.024658;-0.894073
476;-0.786026;-0.068008;-0.995941
477;-0.671280;-0.082306;-1.032837
478;0.065552;-0.153687;-1.018219
479;0.800919;-0.052063;-0.993774
480;0.959717;0.269196;-1.096771
481;0.421585;0.311890;-0.989731
482;-0.438522;0.006882;-0.969696
483;-0.766190;-0.069550;-1.012894
484;-0.785904;-0.053909;-1.067123
485;-0.298218;-0.133774;-1.007278
486;0.562714;-0.070633;-0.961151
487;0.992142;0.178894;-0.993988
488;0.673386;0.334351;-0.951416
489;-0.060013;0.091827;-0.962677
490;-0.673767;-0.027939;-1.064484
491;-0.801331;0.068268;-1.079880
492;-0.589249;-0.001480;-1.055679
493;0.166489;-0.123108;-0.984879
494;0.937332;0.038177;-0.984482
495;1.009277;0.312332;-1.065063
496;0.443695;0.343582;-0.979462
497;-0.405136;0.086533;-1.001816
498;-0.759674;-0.037659;-1.057419
499;-0.800659;-0.073608;-1.072266
500;-0.416458;-0.069489;-1.057068
501;0.403030;-0.043274;-0.926636
502;1.076721;0.022415;-0.872192
503;0.825333;0.234039;-0.912262
504;0.213318;0.247284;-0.924622
505;-0.506821;0.058563;-1.042480
506;-0.867035;-0.103836;-1.173279
507;-0.754196;-0.104889;-1.100571
508;-0.154083;-0.070602;-0.981491
509;0.671387;-0.043762;-0.911819
510;1.164917;0.228653;-0.973663
511;0.865173;0.446106;-0.938065
512;0.019012;0.232239;-0.954987
513;-0.667694;0.061966;-1.064346
514;-0.840256;-0.000977;-1.095383
515;-0.705261;-0.095825;-1.062057
516;-0.029312;-0.130890;-0.988052
517;0.706436;-0.039993;-0.898346
518;0.864822;0.345184;-0.934860
519;0.595886;0.661560;-0.857285
520;0.118103;0.397354;-0.820297
521;-0.333740;0.005554;-0.977097
522;-0.440125;-0.536194;-1.295975
523;-0.402740;-1.094315;-1.337479
524;-0.175354;-0.621460;-1.267563
525;0.073746;0.356934;-0.832901
526;0.352371;1.543701;-0.908966
527;0.454758;1.815338;-0.827286
528;-0.002808;0.574234;-0.705399
529;-0.387100;-0.871948;-1.014252
530;-0.646210;-1.800018;-1.430527
531;-0.610245;-1.306473;-1.430862
532;-0.177551;0.376083;-0.925690
533;0.323715;1.726547;-0.890778
534;0.551849;1.709213;-0.743912
535;0.120728;0.570755;-0.833328
536;-0.221146;-0.576126;-1.121033
537;-0.572083;-1.639999;-1.429596
538;-0.734634;-1.400391;-1.350586
539;-0.225800;0.162628;-0.821747
540;0.192230;1.452820;-0.876953
541;0.518463;1.909271;-0.870483
542;0.288406;0.862045;-0.781708
543;-0.269440;-0.622635;-1.078873
544;-0.660660;-1.674149;-1.379181
545;-0.719620;-1.402954;-1.300446
546;-0.305405;-0.039749;-1.074493
547;0.154480;1.451996;-0.862579
548;0.496796;1.837814;-0.775833
549;0.227585;0.804352;-0.616333
550;-0.288223;-0.635254;-1.049530
551;-0.663696;-1.593887;-1.373062
552;-0.650345;-1.302139;-1.426498
553;-0.262604;0.221039;-1.056976
554;0.174728;1.739639;-0.933472
555;0.497284;1.736572;-0.685394
556;0.098236;0.477051;-0.680832
557;-0.375549;-0.872574;-1.139923
558;-0.615417;-1.627991;-1.479004
559;-0.592148;-0.962875;-1.348557
560;-0.110886;0.445160;-0.876724
561;0.260544;1.352142;-0.663101
562;0.295990;0.956253;-0.532227
563;-0.004623;0.113953;-0.933212
564;-0.219360;-0.308334;-1.652176
565;-0.265335;-0.152145;-2.156479
566;-0.171310;0.215973;-2.210068
