index;x;y;z
177;0.014725;0.015793;-0.995819
178;0.014862;0.016998;-0.994797
179;0.015427;0.015335;-0.996124
180;0.014526;0.014435;-0.994949
181;0.015488;0.016037;-0.995270
182;0.015900;0.015411;-0.995285
183;0.014694;0.015427;-0.994995
184;0.014740;0.016312;-0.995590
185;0.014648;0.015976;-0.994751
186;0.015289;0.015686;-0.995026
187;0.014374;0.016663;-0.995789
188;0.014740;0.015778;-0.996201
189;0.014999;0.014999;-0.996719
190;0.014816;0.015732;-0.995239
191;0.014557;0.015137;-0.996109
192;0.015182;0.015182;-0.994644
193;0.014816;0.016449;-0.994720
194;0.015366;0.015396;-0.995682
195;0.015045;0.015244;-0.995865
196;0.013992;0.016022;-0.995453
197;0.015625;0.015182;-0.995621
198;0.014023;0.015656;-0.996017
199;0.013947;0.015274;-0.995316
200;0.014175;0.015228;-0.995422
201;0.015213;0.015366;-0.996078
202;0.015747;0.015396;-0.995468
203;0.014755;0.015701;-0.995270
204;0.014374;0.016983;-0.996918
205;0.015610;0.015961;-0.995087
206;0.015823;0.016754;-0.995697
207;0.015244;0.015030;-0.995087
208;0.015732;0.016418;-0.995728
209;0.014786;0.016174;-0.997025
210;0.014481;0.015350;-0.995865
211;0.015045;0.015976;-0.996719
212;0.015137;0.016129;-0.995117
213;0.014893;0.015549;-0.996475
214;0.014862;0.015747;-0.996368
215;0.014542;0.016083;-0.997040
216;0.015778;0.016464;-0.996887
217;0.015350;0.016434;-0.996704
218;0.014389;0.016830;-0.996933
219;0.014725;0.016541;-0.996078
220;0.014862;0.017227;-0.996185
221;0.014450;0.015457;-0.996140
222;0.014725;0.015533;-0.995819
223;0.014587;0.015991;-0.995163
224;0.015015;0.016541;-0.996155
225;0.015121;0.015213;-0.995667
226;0.013916;0.015305;-0.995728
227;0.014832;0.015778;-0.995972
228;0.014557;0.016556;-0.995834
229;0.014725;0.015472;-0.996826
230;0.014343;0.016479;-0.995316
231;0.014984;0.016434;-0.995285
232;0.014404;0.016129;-0.996307
233;0.014633;0.016068;-0.994446
234;0.014969;0.015411;-0.996994
235;0.015015;0.015839;-0.996521
236;0.014709;0.017670;-0.994339
237;0.015320;0.016357;-0.996979
238;0.014679;0.015427;-0.995361
239;0.015274;0.016693;-0.995224
240;0.014084;0.015884;-0.996887
241;0.014816;0.015533;-0.995560
242;0.014603;0.016037;-0.995056
243;0.015381;0.015640;-0.996078
244;0.014374;0.016357;-0.996643
245;0.014999;0.016068;-0.995468
246;0.014633;0.016953;-0.995331
247;0.014420;0.016312;-0.995514
248;0.015579;0.016052;-0.995346
249;0.014847;0.016724;-0.995224
250;0.014664;0.015991;-0.995529
251;0.015305;0.015610;-0.995483
252;0.014557;0.016037;-0.994995
253;0.014206;0.015991;-0.995193
254;0.015305;0.015945;-0.994843
255;0.014343;0.016403;-0.995895
256;0.014633;0.016113;-0.995743
257;0.015244;0.014618;-0.995789
258;0.014618;0.015793;-0.995377
259;0.014709;0.016068;-0.995972
260;0.015549;0.015350;-0.996353
261;0.014786;0.016586;-0.996994
262;0.015518;0.015457;-0.995026
263;0.014709;0.016098;-0.995270
264;0.015945;0.016281;-0.995193
265;0.014938;0.016159;-0.995178
266;0.014755;0.016129;-0.995575
267;0.014664;0.015396;-0.996277
268;0.014053;0.015381;-0.995483
269;0.014801;0.016617;-0.995377
270;0.014175;0.015823;-0.996399
271;0.015472;0.015762;-0.995880
272;0.014877;0.016739;-0.995438
273;0.015121;0.015549;-0.995575
274;0.014221;0.015930;-0.996277
275;0.015778;0.015961;-0.994492
276;0.014694;0.016052;-0.995758
277;0.014343;0.015808;-0.995407
278;0.014053;0.016251;-0.996796
279;0.014023;0.015549;-0.994598
280;0.015015;0.014359;-0.996262
281;0.014786;0.015930;-0.995575
282;0.014359;0.015961;-0.995712
283;0.014877;0.015564;-0.994614
284;0.015320;0.015717;-0.995651
285;0.014496;0.016541;-0.995743
286;0.015579;0.016312;-0.995682
287;0.014969;0.015839;-0.994965
288;0.015106;0.016098;-0.995178
289;0.014954;0.015625;-0.995956
290;0.016800;0.015762;-0.995804
291;0.014389;0.016235;-0.996399
292;0.015396;0.016159;-0.996246
293;0.015503;0.016174;-0.995224
294;0.014450;0.015671;-0.995331
295;0.014160;0.015244;-0.994431
296;0.015259;0.015182;-0.996246
297;0.015366;0.015579;-0.994293
298;0.014618;0.016190;-0.995331
299;0.015411;0.015152;-0.995346
300;0.014557;0.016586;-0.995148
301;0.015793;0.016159;-0.996078
302;0.014511;0.015854;-0.995163
303;0.015076;0.016174;-0.995438
304;0.014572;0.017166;-0.995438
305;0.014862;0.017059;-0.994888
306;0.015472;0.015396;-0.995209
307;0.015442;0.016571;-0.995575
308;0.013885;0.015381;-0.996445
309;0.015259;0.015839;-0.996246
310;0.015015;0.015228;-0.996490
311;0.014648;0.016571;-0.994949
312;0.014801;0.014908;-0.995148
313;0.015381;0.017441;-0.995621
314;0.014847;0.015976;-0.994675
315;0.014847;0.016174;-0.995941
316;0.014847;0.015900;-0.994614
317;0.015121;0.015533;-0.995483
318;0.015945;0.015594;-0.995514
319;0.015076;0.015625;-0.995605
320;0.015991;0.015762;-0.994949
321;0.014969;0.015549;-0.995773
322;0.015778;0.016296;-0.996109
323;0.015594;0.016296;-0.996063
324;0.014862;0.016006;-0.995453
325;0.014297;0.015808;-0.995987
326;0.015427;0.016464;-0.995499
327;0.014389;0.015594;-0.995178
328;0.014481;0.015900;-0.993622
329;0.015274;0.016281;-0.994644
330;0.015503;0.016541;-0.994766
331;0.015289;0.015427;-0.995773
332;0.015198;0.015808;-0.995621
333;0.014740;0.016251;-0.995972
334;0.015259;0.016006;-0.995483
335;0.014893;0.015228;-0.995270
336;0.015289;0.015915;-0.995453
337;0.013916;0.016144;-0.997147
338;0.014496;0.015991;-0.993942
339;0.015579;0.015991;-0.994553
340;0.014725;0.015579;-0.995407
341;0.015396;0.016342;-0.994827
342;0.015228;0.015671;-0.996002
343;0.015060;0.016312;-0.996063
344;0.015274;0.015747;-0.995193
345;0.014359;0.015839;-0.995163
346;0.015045;0.015015;-1.013580
347;0.013855;0.013306;-0.993240
